Dates,SP500,Cons Disc,Cons Staples,Energy,Financials,Health,Industrials,Info Tech,Materials,Telecom,Utilities
5/29/1991,0.002246906,0.007041796,-0.001459176,-0.001220554,0.002850928,-0.003833871,0.007267773,-0.001107045,0.006827867,0.006201794,-0.001528663
5/30/1991,0.010884806,0.013936556,0.005559983,0.004265438,0.01265557,-0.005671194,0.024295972,0.006606518,0.02075248,0.02119718,0.004705891
5/31/1991,0.007569921,0.017485314,0.000659848,0.006787082,0.008104369,-0.015899962,0.020981175,0.018850104,0.016859257,0.001828283,-0.003559175
6/3/1991,-0.004233919,-0.001200721,-0.014216675,0.006141268,-0.003675664,-0.020487554,0.002738477,0.003072112,0.005867466,-0.014863321,-0.003827512
6/4/1991,-0.000707399,-0.004549111,0.000133806,-0.003728431,0.012006001,0.005548788,-0.000911993,-0.004352449,-0.00479809,-0.005720839,-0.001151116
6/5/1991,-0.006848793,-0.008619582,-0.006577646,-0.009321537,-0.003791197,0.000774379,-0.007720025,-0.017003028,-0.003479661,-0.009946028,-0.004103622
6/6/1991,-0.003730402,-0.006105439,-0.003642991,0.003884443,-0.000730727,-0.009220751,-0.006721607,-0.005624904,-0.004164713,-0.000289771,-0.002702183
6/7/1991,-0.010995495,-0.012737281,-0.008824984,-0.012189327,-0.013393386,-0.011449221,-0.011437816,-0.014118539,-0.009876289,-0.00770969,-0.006074332
6/10/1991,-0.001937872,-0.003036998,-0.000955045,0.00159304,-0.006242589,-0.003959057,-0.003618094,-0.003724587,-0.001905281,0.002188025,0.001554404
6/11/1991,0.006708152,0.012639267,0.005988042,0.001957187,0.002977522,0.010709758,0.006156336,0.002072577,0.006787971,0.008126587,0.006322194
6/12/1991,-0.011604553,-0.014576716,-0.009406381,-0.01638674,-0.016638321,-0.004608044,-0.010731156,-0.012482353,-0.012388696,-0.009292938,-0.008006241
6/13/1991,0.002697158,0.003319046,0.004918715,0.000869187,0.000755458,-0.003950567,0.003500273,-0.003308669,0.00587313,0.007557077,0.008263443
6/14/1991,0.012244671,0.014664828,0.014075209,0.006186607,0.004370439,0.020042097,0.012420861,0.001690325,0.015539803,0.019782755,0.006919556
6/17/1991,-0.005614864,-0.005183479,-0.004579749,-0.009792455,-0.006941329,-0.007566521,-0.006792328,-0.004923751,0.005082263,-0.005979517,-0.006148348
6/18/1991,-0.003986623,-0.006173283,-0.006637342,-0.007376417,-0.000302893,-0.007399137,-0.00120345,0.002124577,-0.000400294,-0.002144236,-0.004894394
6/19/1991,-0.009270082,-0.008984786,-0.0090103,-0.011992822,-0.008212974,-0.008929135,-0.008599892,-0.004450765,-0.006964003,-0.00905634,-0.017452905
6/20/1991,0.000895551,0.003050051,-0.001097695,0.005446154,0.000763301,0.009041653,-0.00500576,-0.009151123,-0.000806669,0,0.00406478
6/21/1991,0.006176266,0.007859399,0.004383569,0.008677662,0.005933833,0.005609798,0.006354378,0.000400818,0.007236697,0.006907496,0.005871241
6/24/1991,-0.017666969,-0.027711862,-0.011409843,-0.010321048,-0.020382286,-0.017721554,-0.020835506,-0.021524161,-0.024876232,-0.011249037,-0.005740394
6/25/1991,-0.00071512,-0.000282446,-0.007633095,-0.000506201,-0.014660275,0.007148967,-0.001239243,0.006818693,-0.005766079,0.012538897,0.002091231
6/26/1991,0.002572042,0.002820876,0.003337973,0.003790276,0.004076519,-0.000226168,-0.000827016,0.004943909,0.001650846,0.007704418,0.000652614
6/27/1991,0.007535045,0.009531892,0.004433368,0.004529449,0.004371592,0.009903299,0.010152371,-0.004624209,0.009712134,0.017051072,0.006502819
6/28/1991,-0.008415463,-0.011929129,-0.006935803,-0.010220264,-0.006250997,-0.014096653,-0.007398307,-0.004246687,-0.008750398,-0.001958043,-0.007024876
